,wavelength,silver,aluminium,aluminium oxide,gold,glass,cobalt,chromium,copper,gallium nitride,indium tin oxide,magnesium oxide,nickel,polyethylene,platinum,quartz,silicon,silicon nitride,silicon oxide,titanium,tin oxide,tungsten,air,caesium,iron,lead,lithium,pva,pvc,pvp,zinc,pmma,spr350
0,400,(0.173+1.9500000000000002j),(0.49012197639587324+4.8605948063222995j),(1.7899789223320408+0j),(1.6579265912185561+1.9560455836117026j),(1.530977739447113+4.802065491314512e-07j),(1.455067879113597+3.002268984865912j),(2.010298823049719+2.8503811068148677j),(1.1750000000000003+2.1300000000000003j),(2.5649999999999995-5.5294310796760726e-18j),(2.1152+0.04350352j),(1.7621+0j),(1.61+2.3600000000000003j),(1.5141317176472282+0j),(1.7176+2.844j),(1.5576999999999999+0j),(5.57+0.38700000000000007j),(2.0739-3.6287601640166543e-29j),(1.4701+0j),(1.5502073928035738+2.150110269868377j),(3.2861000000000002-6.352747104407253e-22j),(3.3919+2.4187j),(1+0j),(0.4412246585453735+0.40005941182403093j),(2.2610527721328824+2.5940509496065673j),(0.31073128421570934+3.9038028180785345j),(0.26251588095689204+1.752103179859511j),(1.5015622712379681+0j),(1.56135+2.72e-06j),(1.5523640625000001+0.00397496253061592j),(0.5792499296939762+3.4980783237879804j),(1.50029+3.82e-07j),(1.62121877346799+0j)
1,405,(0.17231501237246927+2.0103853713603423j),(0.5024513422923832+4.920095322801728j),(1.7866536396720225+0j),(1.6496239893503732+1.9590280377598441j),(1.5303076485064644+4.777323375750005e-07j),(1.4783748911389694+3.044327200152691j),(2.0354574514813413+2.8809799749979814j),(1.176826092770598+2.14922233602761j),(2.544631777920937+0.01754754077874385j),(2.1065113552780392+0.04281866786718864j),(1.761+0j),(1.6095123688697288+2.389253302239857j),(1.5137+0j),(1.7303805281879119+2.873969674264601j),(1.5571000000000002+0j),(5.42540733877521+0.33051007954665423j),(2.071658610647919-1.666731004719848e-13j),(1.4696000000000002+0j),(1.5664013983821738+2.1577947958197443j),(3.252300046877919-1.3857988461338821e-05j),(3.379224716085637+2.41965942730519j),(1+0j),(0.42461061403221223+0.41872943925809847j),(2.2949998053123033+2.616765949336993j),(0.31735551810993234+3.961772503809437j),(0.25576980986054093+1.783000287330214j),(1.5005427843684243+0j),(1.5606118266681013+2.508147409446258e-06j),(1.5509751261809888+0.0038753256604008566j),(0.5879350913037423+3.550865084813562j),(1.4994756657323751+2.920383324816302e-07j),(1.6197328589777114+0j)
2,410,(0.17331952509765544+2.070984058674658j),(0.5148820381280523+4.979958246334959j),(1.7819891845410378+0j),(1.6409929554955436+1.9592856971097041j),(1.5296283162390283+4.7648581424127687e-07j),(1.5037512519042202+3.0837341509626603j),(2.0615947688947287+2.910179193561852j),(1.1790944586847294+2.185911924202471j),(2.530995680414094+0.02306872311682114j),(2.098+0.04223955j),(1.7598000000000003+0j),(1.609353750877786+2.41996724050472j),(1.5132724235291573+0j),(1.7429058825199022+2.902324418414161j),(1.5565+0j),(5.2955385488564835+0.2952406648550278j),(2.0695+8.283039504820624e-30j),(1.4691+0j),(1.5808423717816849+2.164068135246036j),(3.2248000000000006+3.1763735522036263e-22j),(3.3616051710524664+2.419400141413214j),(1+0j),(0.41612492583060706+0.4302223427963237j),(2.328946990591487+2.638101301147893j),(0.324194984720257+4.019704956704369j),(0.2494470830454075+1.8154216684847613j),(1.4995596338361545+0j),(1.5598300000000003+2.3499999999999995e-06j),(1.5496591966140623+0.0037811035160260228j),(0.5968841846483828+3.603337916638836j),(1.49875+2.39e-07j),(1.6183072048495706+0j)
3,415,(0.172055977493537+2.1288260388362987j),(0.5272173069716958+5.041468249340912j),(1.779346617083169+0j),(1.6338459912366616+1.9568468839242357j),(1.5290492691733313+4.751286696775e-07j),(1.5303216561305921+3.123976755400723j),(2.090178837134873+2.9407597289484952j),(1.1799379377232841+2.220566492267332j),(2.523889317537871+0.016968577380802312j),(2.089661446614869+0.04175781834934131j),(1.7587999999999997+0j),(1.6107332185052479+2.4496583964310665j),(1.5128489882347005+0j),(1.756019489644217+2.9312910968765222j),(1.5559+0j),(5.186399063304284+0.25976702473510827j),(2.067406282388742+2.8596583075445574e-14j),(1.4686+0j),(1.5947717710774962+2.1737963716301585j),(3.202823672917824+2.3776549255460224e-06j),(3.3452738674939937+2.4208332955920953j),(1+0j),(0.4099156465098505+0.4412686101605259j),(2.3643206305394266+2.6575564191370575j),(0.3312496840466831+4.077600176763332j),(0.24337794602861798+1.839867779076183j),(1.4986123760570502+0j),(1.5590045199956966+2.245557771661225e-06j),(1.5484114538818448+0.003692069216198809j),(0.6060972097278978+3.655496819263805j),(1.4981130028028744+2.2288500255510943e-07j),(1.6169385585289011+0j)
4,420,(0.16705833493913763+2.182719361496944j),(0.5393918286569532+5.105062715589191j),(1.7789698987521079+0j),(1.628369165414323+1.9517454259910723j),(1.5284973749070687+4.737857864062956e-07j),(1.5578632748710235+3.165287634264551j),(2.121315003833441+2.9729211423885333j),(1.1782405339707578+2.2480584897163887j),(2.518553269291679+0.008771833961276768j),(2.0815000000000006+0.04136638j),(1.7577000000000003+0j),(1.6141451406440466+2.477513083519385j),(1.512429552940244+0j),(1.77029776976309+2.9621412071240267j),(1.5554+0j),(5.088462953703996+0.23827547369954136j),(2.0654000000000003+9.860761315262648e-31j),(1.4681+0j),(1.6082786828898366+2.187328693510845j),(3.1856+9.926167350636332e-24j),(3.333837450613726+2.4261006663535576j),(1+0j),(0.40024627995123735+0.4584659453031722j),(2.4011207251561215+2.675131303304486j),(0.3385196160892107+4.135458163986323j),(0.23705784641125824+1.8574612098990388j),(1.4976984126984+0j),(1.55812+2.16e-06j),(1.5472276348977019+0.0036068614731635555j),(0.6155741665422872+3.707341792688467j),(1.49752+2.24e-07j),(1.6156238853964555+0j)
5,425,(0.16190095348953112+2.234403079173091j),(0.5516593247657436+5.168396727307204j),(1.779745634110285+0j),(1.6209060345327595+1.9444248349461277j),(1.5278683143388516+4.7242254231659185e-07j),(1.585346903726483+3.2061680696640664j),(2.153771225024976+3.004880289075806j),(1.1760355240533835+2.2752866990797807j),(2.512980115005309+0.0024958186378325536j),(2.073519965032747+0.04105814203676353j),(1.7566999999999997+0j),(1.618044469124928+2.505332332136591j),(1.5120132705874725+0j),(1.7853745228865756+2.9946090320782557j),(1.5549000000000002+0j),(5.002292755133843+0.20940641931140383j),(2.063503695019633-4.906397980688635e-15j),(1.4675999999999996+0j),(1.6222831316221573+2.2026414661278073j),(3.1723579156151374-4.0794109193731435e-07j),(3.3265784433114396+2.438673987282904j),(1+0j),(0.3871168261547676+0.4818143482242624j),(2.4385581573585875+2.691139550825699j),(0.34600478084784+4.1932789183733465j),(0.23043338982587153+1.894258062388136j),(1.496816483962525+0j),(1.5571610533577203+2.0585059605863923e-06j),(1.5461035751488+0.0035252534056276503j),(0.6253150550915514+3.758872836912823j),(1.4969263174503782+2.2265165218771326e-07j),(1.614360351429409+0j)
6,430,(0.15902146562461217+2.2829307815351045j),(0.5642405814197253+5.2300612151798695j),(1.7801537295713235+0j),(1.6104260339216832+1.9353205251462686j),(1.5273386683261996+4.711421377112529e-07j),(1.612553685924892+3.246284174103491j),(2.1858836710440586+3.0342290981058593j),(1.1742069212160309+2.30127830975325j),(2.507169854678759-0.0018594685895303325j),(2.0657+0.04082706j),(1.7558+0j),(1.6216898451462347+2.5338990836599344j),(1.5116+0j),(1.8000630707310301+3.027311038638209j),(1.5544+0j),(4.923399170331214+0.19566779304444443j),(2.0617000000000005-3.0814879110195774e-32j),(1.4672+0j),(1.6380275760975906+2.217001845815937j),(3.1624+4.1359030627651384e-25j),(3.321877778580604+2.4561217640865594j),(1+0j),(0.37052730818316115+0.5113137843039586j),(2.473388779138992+2.70687039453339j),(0.35370517832257076+4.251062439924398j),(0.22555746645740377+1.9213733619171651j),(1.495965497769531+0j),(1.5562499999999997+1.96e-06j),(1.5450354238175503+0.0034472450135910934j),(0.6353198753756898+3.8100899519368725j),(1.4964000000000002+2.1800000000000002e-07j),(1.6131453074512292+0j)
7,435,(0.1585082148276779+2.328586214359971j),(0.5771951630025967+5.28953278607165j),(1.7801853014782694+0j),(1.596134223665656+1.9245925821611882j),(1.5268187327061276+4.686513430639926e-07j),(1.6398469595801353+3.2858308506525695j),(2.2176432770301275+3.0609544498502688j),(1.1728266001785577+2.3255714678000805j),(2.5011224883120304-0.004294027720811884j),(2.0580187631886497+0.040667089430077505j),(1.7549+0j),(1.6249417876807115+2.563269338117914j),(1.5111897411778268+0j),(1.8134778525291995+3.05933577984221j),(1.5539+0j),(4.851762750234878+0.18544360801232068j),(2.059971547493462+8.41804808686236e-16j),(1.4668000000000003+0j),(1.6555187854681837+2.2303949435230193j),(3.155028833391352+6.999162607786384e-08j),(3.3112219949481516+2.46684715498161j),(1+0j),(0.3536583737918883+0.5421897294593881j),(2.5052618717937865+2.7224632109500124j),(0.3616369171863388+4.308815034190159j),(0.2220956572394262+1.9361749493774587j),(1.4951432017046353+0j),(1.5555091598579807+1.88340646482042e-06j),(1.5440196213186095+0.0033728362970538855j),(0.645576690589033+3.8610077387065225j),(1.4960090924948566+2.092050843186111e-07j),(1.6119762748061834+0j)
8,440,(0.157944533922816+2.373551890089009j),(0.590444495449436+5.347034055278996j),(1.780047639699651+0j),(1.5767102622585036+1.9121467694256309j),(1.526367722032013+4.674101201990167e-07j),(1.6673857069093287+3.324883397168598j),(2.250491006159437+3.0861174968736935j),(1.171208323184141+2.3489541700177132j),(2.4948380159051227-0.004807858756012108j),(2.0505+0.04057307j),(1.7540000000000002+0j),(1.6281752324622771+2.592840587075934j),(1.510782494120953+0j),(1.8247825105615298+3.0900129664315927j),(1.5534+0j),(4.787200306910848+0.16895631151793222j),(2.0583-3.235562306570556e-32j),(1.4663000000000002+0j),(1.6722396182414305+2.2430889884600895j),(3.1494000000000004+4.1359030627651384e-25j),(3.301678559289326+2.4780896440575084j),(1+0j),(0.3396565729324223+0.5697188443973416j),(2.5341774353229702+2.7379180000755667j),(0.36986949093540655+4.366563903582917j),(0.21693274776923352+1.9671294398288448j),(1.4943492898988064+0j),(1.5549099999999998+1.82e-06j),(1.5430529272727864+0.0033019152988953697j),(0.6560340048471281+3.911689186319871j),(1.4956000000000003+2.0499999999999997e-07j),(1.6108509323134+0j)
9,445,(0.15581655257524898+2.420464326326682j),(0.6040079020279477+5.406840456965638j),(1.779977474562886+0j),(1.5479779833012492+1.896861147344357j),(1.5258166620026592+4.6604819789153886e-07j),(1.6968999999999999+3.3627j),(2.2860536920938292+3.1109162702854527j),(1.1689082273255162+2.3716255278502127j),(2.488342015793138-0.003511386353326557j),(2.043167455835354+0.04053984138277146j),(1.7530999999999999+0j),(1.631345243329245+2.6230119345405196j),(1.5103791058876932+0j),(1.835261568988356+3.1199754849288013j),(1.5529+0j),(4.728915009771422+0.1522356525488272j),(2.0566670200195967-1.4443087142878088e-16j),(1.4660000000000002+0j),(1.685348245716145+2.255386808844267j),(3.144669084036751-1.200866452986864e-08j),(3.3026234020602483+2.4997417640775708j),(1+0j),(0.3285219056047632+0.593901129117819j),(2.5605544821161392+2.7530055330960956j),(0.37841089346400997+4.424312177218609j),(0.2118300225461822+2.0005754851528788j),(1.493581564422185+0j),(1.554423987494395+1.7610552504910869e-06j),(1.5421324630677675+0.0032338102763916038j),(0.6666858945358812+3.962141540464866j),(1.495019127580484+2.1411784190062005e-07j),(1.6097671043707842+0j)
